system,full_title,authors,venue,year,publication_state,official_paper,official_repository,official_archive,artifact_revision,license,supported_scheme,backend,frontend_model_format,optimization_target,parameter_search_space,scale_management,bootstrapping,packing_layout,security_handling,error_correctness_metric,model_workload,artifact_state,build_state,execution_state,workload_mapping_state,output_evidence_state,decision_gate_state,portability_state,latency_comparability,experimental_tier,comparison_relevance,direct_comparison_limitation
HALO,HALO: Loop-aware Bootstrapping Management for Fully Homomorphic Encryption,Seonyoung Cheon; Yongwoo Lee; Hoyun Youm; Dongkwan Kim; Sungwoo Yun; Kunmo Jeong; Dongyoon Lee; Hanjun Kim,ACM ASPLOS,2025,PEER_REVIEWED,https://doi.org/10.1145/3669940.3707275,https://github.com/corelab-src/hecate-compiler,NOT_REPORTED,post-publication-main@aedca73dac27b86044721781b9fca8d12e665876,MIT,CKKS,current HECATE stack,loop-aware MLIR,bootstrap placement across flat and nested loops,loop-aware placement plans,integrated,central contribution,program dependent,runtime parameters,execution correctness and latency,loop-heavy FHE programs,OFFICIAL_REPOSITORY,BUILD_BLOCKED,NO_END_TO_END_RUN,NOT_APPLICABLE,PAPER_REPORTED_ONLY,OUTPUT_UNAVAILABLE,NOT_EVALUATED,NOT_AVAILABLE,TIER_1,recent bootstrap-management landscape,Current frozen workloads have no bootstrap and no paper-tagged artifact revision was verified.
ReSBM,ReSBM: Region-based Scale and Minimal-Level Bootstrapping Management for FHE via Min-Cut,Yan Liu; Jianxin Lai; Long Li; Tianxiang Sui; Linjie Xiao; Peng Yuan; Xiaojing Zhang; Qing Zhu; Wenguang Chen; Jingling Xue,ACM ASPLOS,2025,PEER_REVIEWED,https://doi.org/10.1145/3669940.3707276,https://github.com/ant-research/ace-compiler,NOT_REPORTED,post-artifact-main@929e9b621f11bebbaa9ec1e215f4a52e3d07109b,NO_LICENSE_DECLARED_IN_REPOSITORY,RNS-CKKS,ANT-ACE,ONNX / compiler IR,region-based scale and minimum-level bootstrap management,min-cut region and bootstrap plan,joint,central contribution,packed DNN layouts,ACE runtime parameters,model accuracy and runtime,deep CNN inference,OFFICIAL_REPOSITORY,BUILD_SMOKE_PASS,NO_END_TO_END_RUN,NOT_APPLICABLE,PAPER_REPORTED_ONLY,OUTPUT_UNAVAILABLE,NOT_EVALUATED,NOT_AVAILABLE,TIER_2,recent bootstrap/scale co-management,No bootstrap is needed by the frozen workloads; license and high-resource constraints are recorded.
Orbit,Orbit: Optimizing Rescale and Bootstrap Placement with Integer Linear Programming Techniques for Secure Inference,Zikai Zhou; William Seo; Edward Chen; Alex Ozdemir; Fraser Brown; Wenting Zheng,USENIX Security,2026,PEER_REVIEWED,https://www.usenix.org/conference/usenixsecurity26/presentation/zhou-zikai,https://github.com/cmu-cryptosystems/Orbit,https://doi.org/10.5281/zenodo.20739724,zenodo-v2@f364122b77be482bfe902c20a89755cee2060c5a,LICENSE_AMBIGUOUS_ZENODO_CC_BY_4_0_AND_ARCHIVE_BSD_3_CLAUSE,CKKS,paper-defined runtime,inference graphs,joint ILP rescale and bootstrap placement,integer-program placement and rescaling,joint,central contribution,reported inference layouts,secure inference parameters,reported correctness and performance,secure inference graphs,OFFICIAL_ARCHIVE,BUILD_SMOKE_PASS,NATIVE_END_TO_END_PARTIAL,NOT_APPLICABLE,SCHEDULE_ONLY,OUTPUT_UNAVAILABLE,NOT_EVALUATED,NOT_AVAILABLE,TIER_1,latest joint placement landscape,No official executable artifact was verified and current workloads require no bootstrap.
AutoFHE,AutoFHE: Automated Adaption of CNNs for Efficient Evaluation over FHE,Wei Ao; Vishnu Naresh Boddeti,USENIX Security,2024,PEER_REVIEWED,https://www.usenix.org/conference/usenixsecurity24/presentation/ao,https://github.com/human-analysis/AutoFHE,NOT_REPORTED,main@a43af0453e5237e2ff4a5630a10ece1a062b9d88,MIT,RNS-CKKS,OpenFHE-derived CNN implementation,PyTorch CNN search space,activation degree; bootstrap placement; accuracy-latency trade-off,multi-objective neural architecture and polynomial search,model-specific,jointly optimized,CNN packed inference,paper targets 128-bit parameters,top-1 accuracy and latency,ResNet/VGG on CIFAR-10/100,OFFICIAL_REPOSITORY,BUILD_SMOKE_PASS,NO_END_TO_END_RUN,NOT_APPLICABLE,PAPER_REPORTED_ONLY,OUTPUT_UNAVAILABLE,NOT_EVALUATED,NOT_AVAILABLE,TIER_2,application/model adaptation; different optimization object,It changes the network/activation search space and is not an exact frozen-model configuration provider.
Orion,Orion: A Fully Homomorphic Encryption Framework for Deep Learning,Austin Ebel; Karthik Garimella; Brandon Reagen,ACM ASPLOS,2025,PEER_REVIEWED,https://doi.org/10.1145/3676641.3716008,https://github.com/baahl-nyu/orion,NOT_REPORTED,main@be8a827350a147d610fe3bb998b5bea8de814ff8,MIT,CKKS,Lattigo,PyTorch,packed neural-network compilation; rotations; bootstrapping,graph compilation and runtime parameters,compiler/runtime managed,supported,packed deep-learning tensors,Lattigo parameter literals,model accuracy and numerical behavior,LoLa; MLP; LeNet; AlexNet-family examples,OFFICIAL_REPOSITORY,BUILD_SMOKE_PASS,NATIVE_END_TO_END_PARTIAL,SAME_TASK_DIFFERENT_GRAPH,CONFIGURATION_ONLY,GATE_EVALUATED,NOT_EVALUATED,NOT_AVAILABLE,TIER_2,standard DNN compiler and base for FHE-Agent,Public configurations failed exact graph/security import in the existing fail-closed adapter audit.
LOHEN,LOHEN: Layer-wise Optimizations for Neural Network Inferences over Encrypted Data with High Performance or Accuracy,Kevin Nam; Youyeon Joo; Dongju Lee; Seungjin Ha; Hyunyoung Oh; Hyungon Moon; Yunheung Paek,USENIX Security,2025,PEER_REVIEWED,https://www.usenix.org/conference/usenixsecurity25/presentation/nam-lohen,NR,NOT_REPORTED,NR,NR,CKKS,paper implementation,layer-wise DNN,layer-wise ciphertext configuration and switching for performance/accuracy,layer configurations,layer-wise,application dependent,DNN packing,paper runtime parameters,accuracy or high-performance objective,encrypted DNN inference,PAPER_ONLY,BUILD_BLOCKED,NO_END_TO_END_RUN,NOT_APPLICABLE,PAPER_REPORTED_ONLY,OUTPUT_UNAVAILABLE,NOT_EVALUATED,NOT_AVAILABLE,TIER_2,layer-wise configuration system,Required reproduction stops at ARTIFACT_UNAVAILABLE because no official source artifact was verified.
SLOTHE,SLOTHE: Lazy Approximation of Non-Arithmetic Neural Network Functions over Encrypted Data,Kevin Nam; Youyeon Joo; Seungjin Ha; Yunheung Paek,USENIX Security,2025,PEER_REVIEWED,https://www.usenix.org/conference/usenixsecurity25/presentation/nam-slothe,https://github.com/SNUSOR-PECT/SLOTHE,NOT_REPORTED,master@33ccff3519c9df1dc255420e8a1bfe4da501b1f0,NO_LICENSE_DECLARED_IN_REPOSITORY,CKKS,HEaaN / generated polynomial evaluator,non-arithmetic function approximation,lazy polynomial approximation placement,approximation intervals and polynomial choices,runtime-specific,application dependent,function evaluator,runtime parameter configuration,approximation error and DNN accuracy,non-arithmetic DNN functions,OFFICIAL_REPOSITORY,BUILD_SMOKE_PASS,NO_END_TO_END_RUN,NOT_APPLICABLE,PAPER_REPORTED_ONLY,OUTPUT_UNAVAILABLE,NOT_EVALUATED,NOT_AVAILABLE,TIER_2,application adaptation rather than exact configuration tuning,Different model semantics and undeclared repository license prevent a common frozen-workload arm.
Application-Aware Approximate HE,Application-Aware Approximate Homomorphic Encryption: Configuring FHE for Practical Use,Andreea Alexandru; Ahmad Al Badawi; Daniele Micciancio; Yuriy Polyakov,IACR Communications in Cryptology,2026,PEER_REVIEWED,https://doi.org/10.62056/ayl83z10k,NR,NOT_REPORTED,NR,NR,approximate HE / OpenFHE proof of concept,formal model and OpenFHE,application circuit plus input domain,application-aware correctness and security configuration,application specification and parameter generation,part of application configuration,not a performance baseline,application defined,application-aware security definition,formal application-domain correctness,formal application domains,PAPER_ONLY,NOT_ATTEMPTED,NO_END_TO_END_RUN,NOT_APPLICABLE,PAPER_REPORTED_ONLY,OUTPUT_UNAVAILABLE,NOT_EVALUATED,NOT_AVAILABLE,TIER_1,security and positioning precedent,Not a performance autotuner; included in security/assurance positioning only.
FHE-Agent,FHE-Agent: Automating CKKS Configuration for Practical Encrypted Inference via an LLM-Guided Agentic Framework,Nuo Xu; Zhaoting Gong; Ran Ran; Jinwei Tang; Wujie Wen; Caiwen Ding,arXiv,2025,PREPRINT,https://arxiv.org/abs/2511.18653,NR,NOT_REPORTED,NR,NR,CKKS,Orion / Lattigo 5.0.2 prototype,agent-orchestrated MLP/CNN recipes,"LLM-guided parameter pruning, calibration, and repair",multi-fidelity candidate evaluation,agent/tool guided,model dependent,Orion,estimated target in toolchain,accuracy; MAE; precision; feasibility,MLP; LeNet; LoLa; AlexNet,PAPER_ONLY,NOT_ATTEMPTED,NO_END_TO_END_RUN,NOT_APPLICABLE,PAPER_REPORTED_ONLY,OUTPUT_UNAVAILABLE,NOT_EVALUATED,NOT_AVAILABLE,TIER_2,closest agentic parameter selector,"No official executable artifact was verified, so it remains related-work evidence."
FHECrafter,FHECrafter: A Multi-Agent Framework for Automated Fully Homomorphic Encrypted Tensor Program Generation,Qiuchu Yu; Ruiyuan Xu; Guangli Li,ACM ICS Workshops,2026,WORKSHOP_PEER_REVIEWED,https://doi.org/10.1145/3774895.3812197,NR,NOT_REPORTED,NR,NR,FHE tensor programs,NR in accessible official metadata,agent-generated tensor program,multi-agent encrypted tensor program generation,agentic program synthesis,NR,NR,tensor programs,NR,NR in accessible official metadata,encrypted tensor programs,PAPER_ONLY,NOT_ATTEMPTED,NO_END_TO_END_RUN,NOT_APPLICABLE,PAPER_REPORTED_ONLY,OUTPUT_UNAVAILABLE,NOT_EVALUATED,NOT_AVAILABLE,TIER_1,new agentic compiler landscape,"Official DOI metadata is available, but no official executable repository was verified."
FlipGuard,FlipGuard: Decision-Integrity-Aware Direct Synthesis and Validation of CKKS Configurations,ANONYMIZED_RESEARCH_ARTIFACT,manuscript in preparation,2026,TECHNICAL_REPORT,NOT_PUBLISHED,LOCAL_RESEARCH_REPOSITORY,NOT_REPORTED,flipguard-thesis-v1.0.0-rc2@6c5f8b234f9f9da91a189fa0f2dc180bb996abf5,LICENSE_DECISION_REQUIRED,CKKS,Lattigo v6.2.0,declared graph adapters and decision-integrity contracts,fastest decision-stable candidate within a declared candidate set,"built-in direct synthesis plus manual, bounded-catalog, and external-provider candidates",graph-derived scale trace with frozen bounded repairs,not supported in the frozen direct-policy scope,scalar-replicated packing in frozen evidence,Security Policy V2 admission with exact-Q/P sensitivity,finite-input decision preservation and reserve-policy admission,"binary tabular, polynomial, image operators, CNN-lite, MNIST MLP-100 and LeNet-5-small adapters",OFFICIAL_REPOSITORY,BUILD_SMOKE_PASS,NATIVE_END_TO_END_PASS,EXACT_SHARED_GRAPH,RAW_PER_SAMPLE_OUTPUT,GATE_EVALUATED,NATIVE_ONLY,NATIVE_DIAGNOSTIC_ONLY,TIER_3,decision-stability gate and built-in direct provider,NOT_APPLICABLE
