split_seed,dataset_id,model_id,status,action,reference_security_admitted,reference_execution_status,reference_decision_certificate_status,reference_latency_role,result_path,result_sha256,error
1,mnist_pool16,mlp_square_linear_score,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed1_mnist_pool16_mlp_square_linear_score.json,sha256:e4c225342db726bae8b288cbc18fd1db590482924de35102100e521f9c802cbc,
1,wdbc,linear_poly3,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed1_wdbc_linear_poly3.json,sha256:bb5aa1b3b46640364a5a61aa3af851066cee13e2c106f0e6359beed62933fe9f,
1,wdbc,mlp_square_linear_score,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed1_wdbc_mlp_square_linear_score.json,sha256:94e7ed016d5b8ea3c97f7edd72dd739481b91a0b314773c1d45aa06a7fe43695,
2,banknote,linear_poly3,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed2_banknote_linear_poly3.json,sha256:486c0a3e03f8794d7cb23f3a28977d5acbfe6777358e4d771c9fdef31c3e70f7,
2,banknote,mlp_square_linear_score,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed2_banknote_mlp_square_linear_score.json,sha256:386eab9774d818049b8a71e866ea0daef1fb88eb8373ed724ef9f3758ea0b3f3,
2,digits_binary,linear_poly3,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed2_digits_binary_linear_poly3.json,sha256:80faff2c18728741b0763d0e26dd126b778bbe88763191f451e704ac4a022954,
2,digits_binary,mlp_square_linear_score,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed2_digits_binary_mlp_square_linear_score.json,sha256:b7d8c82ca90972f3c221b01e72889530d79f344a948706652f9677dc05f78b86,
2,iris_binary,linear_poly3,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed2_iris_binary_linear_poly3.json,sha256:5daf828c36a2287e32320b7929c5869f488df1bca30631fe12ed5145ac7b801a,
2,iris_binary,mlp_square_linear_score,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed2_iris_binary_mlp_square_linear_score.json,sha256:27bfb37890d9d8798e9f8445952d9a22bfcc81427b5c827cb289fe223cc03987,
2,mnist_pool16,linear_poly3,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed2_mnist_pool16_linear_poly3.json,sha256:c6036f469f0747d06ede13cb6a84983b28fad2b84b978065eff92454b805e0cf,
2,mnist_pool16,mlp_square_linear_score,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed2_mnist_pool16_mlp_square_linear_score.json,sha256:41f960b6ffac0e41fba19d853912f6c26fc6fc44095e09cc65cd133901ae10a9,
2,wdbc,linear_poly3,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed2_wdbc_linear_poly3.json,sha256:4cc7ee09c77756326a9cb16f6064f2852301e936e37384b0ddb5aa7a53926509,
2,wdbc,mlp_square_linear_score,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed2_wdbc_mlp_square_linear_score.json,sha256:7a7d3c50e7b60ddc3f7288c8462b72475d2a7d178ffb96f320c2f9aec59cd55f,
3,banknote,linear_poly3,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed3_banknote_linear_poly3.json,sha256:f755292e6fa7b26c0e08e8e6e149071c4c491811f2d958c21bda62ae86580b7e,
3,banknote,mlp_square_linear_score,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed3_banknote_mlp_square_linear_score.json,sha256:88e3e6fc60069db4a32cc8bedbb3ea57924a577aaeaf00a71e4560e4d7a7b39d,
3,digits_binary,linear_poly3,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed3_digits_binary_linear_poly3.json,sha256:b98d201f7a9189ace6cc52c6b3b3da66ef48923494e214177671aa874f2b082c,
3,digits_binary,mlp_square_linear_score,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed3_digits_binary_mlp_square_linear_score.json,sha256:fa6ad5c73c9212a5fbfa2c5a0ef02c7a7a705a61a0edb25c66538c9461ee5329,
3,iris_binary,linear_poly3,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed3_iris_binary_linear_poly3.json,sha256:8dceefbed75b6df7525e1bc9267c60740700b5e8c8d4131799f2e4d40659064b,
3,iris_binary,mlp_square_linear_score,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed3_iris_binary_mlp_square_linear_score.json,sha256:256e6c5345782d5eb9b337d911753c5815c468390114a13a1f9641b82b3ec2e3,
3,mnist_pool16,linear_poly3,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed3_mnist_pool16_linear_poly3.json,sha256:af5da8af193c2abf36adb59a5be0132921ae7d03e4b3691f11130a1aab9c032f,
3,mnist_pool16,mlp_square_linear_score,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed3_mnist_pool16_mlp_square_linear_score.json,sha256:68d035b41be5f8bcaafb5a0fcf6e7f430fdba58127765df409dd6054276cf12e,
3,wdbc,linear_poly3,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed3_wdbc_linear_poly3.json,sha256:459bcde5df72164cfff90ad15a6f3c969e66e113d0d4ac03c3b302806e3c9e61,
3,wdbc,mlp_square_linear_score,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed3_wdbc_mlp_square_linear_score.json,sha256:81d813841de4115dae0229f089e84b118ccec0913d4991fbb57e2ea91a5489e7,
4,banknote,linear_poly3,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed4_banknote_linear_poly3.json,sha256:5c297fb416a0c80d6e4ce86340ff9b6253b21f943b0d915cb41106e8e8ffd8a4,
4,banknote,mlp_square_linear_score,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed4_banknote_mlp_square_linear_score.json,sha256:8cd038b430288387f4c1beeabbe070fab4d5beeb045c76910a5fbfdd61122793,
4,digits_binary,linear_poly3,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed4_digits_binary_linear_poly3.json,sha256:5359236ff2b421ab783bb1f418255f5d805d9cfa611c7bfb64557156267ad728,
4,digits_binary,mlp_square_linear_score,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed4_digits_binary_mlp_square_linear_score.json,sha256:b31f310b541edef87c1dfd8089d31118868dcc97d7148fce49a0799156fd3496,
4,iris_binary,linear_poly3,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed4_iris_binary_linear_poly3.json,sha256:ecf18f637497cfb18b56a044a540f680cab981b1114a474c2a81ed61896426ca,
4,iris_binary,mlp_square_linear_score,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed4_iris_binary_mlp_square_linear_score.json,sha256:2314b0a020ff1b3ddd4fcaae417275c095ad456d5bb78d1256e2987567f01db3,
4,mnist_pool16,linear_poly3,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed4_mnist_pool16_linear_poly3.json,sha256:7d05202ea5cf581bf1aede990659c6d2e4289a620dbde7c46b43216c2b081c2d,
4,mnist_pool16,mlp_square_linear_score,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed4_mnist_pool16_mlp_square_linear_score.json,sha256:f6fceb10eed35d4779985736bed38cc630a6730523220398aa99220384d262d8,
4,wdbc,linear_poly3,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed4_wdbc_linear_poly3.json,sha256:95ec5176dfb4646e1e6e58e2e82e5d15c5d916500f1a26d18d0a010d24bc0c63,
4,wdbc,mlp_square_linear_score,ok,run,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,results/thesis_grade_protocol/paired_tabular_latency_v1/full/results/seed4_wdbc_mlp_square_linear_score.json,sha256:4e24cf094d6d6a591022b79c25eb99aed5cc71c99894d4ec7d0cae29ca79d48c,
