amendment,provider_or_scope,classification,semantic_change,policy_change,encrypted_rerun_count,source_path,payload_sha256,attempt,start_timestamp,end_timestamp,return_code
orchestration_amendment_011,V7 hard-pause QA and evidence commit,PERSISTENT_FINAL_QA_AND_COMMIT,False,False,NOT_APPLICABLE,docs/evidence/external_end_to_end_code_v7/orchestration_amendment_011.json,sha256:6e5d1728a0866cbe08688fe7bf11bb84ac69fa52e309af1df5f10529e06243cc,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
orchestration_amendment_012,HEIR,PARTIAL_RAW_OUTPUT_CAPTURE_NORMALIZATION,False,False,NOT_APPLICABLE,docs/evidence/external_end_to_end_code_v7/orchestration_amendment_012.json,sha256:ebded5f3cbf434156fe568ae2b013f1ba056d50f6c0db3191339d587a3906675,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
orchestration_amendment_013,legacy comprehensive comparison verifier hygiene,RECOVERABLE_VERIFIER_FAILURE,False,False,NOT_APPLICABLE,docs/evidence/external_end_to_end_code_v7/orchestration_amendment_013.json,sha256:d9cca238649de2696deb30f697356238ebc8b60a3e79cf791f501e6bde394243,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
orchestration_amendment_014,Go repository QA isolation,RECOVERABLE_VERIFIER_FAILURE,False,False,NOT_APPLICABLE,docs/evidence/external_end_to_end_code_v7/orchestration_amendment_014.json,sha256:557ae1b64bdd4e826adc6c3ce12087d316dfcc11e03e47eef8a3e9462dcc3c42,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
orchestration_amendment_015,final evidence recursive freeze and publication inputs,RECOVERABLE_IMPLEMENTATION_FAILURE,False,False,NOT_APPLICABLE,docs/evidence/external_end_to_end_code_v7/orchestration_amendment_015.json,sha256:0cbf73285a18a5be0f5d0b89bdba395f8ec042af1987007c9168c043349eb037,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
completed_jobs,eva,COMPLETED,False,False,NOT_REPORTED,external/v7/status/completed_jobs.jsonl,sha256:da5ad50c8f44bf93c69e66654632dc325aa6c47d3142d328768bdde020e37b92,2,2026-08-06T15:50:59+09:00,2026-08-06T15:53:35+09:00,0
completed_jobs,heir,COMPLETED,False,False,NOT_REPORTED,external/v7/status/completed_jobs.jsonl,sha256:da5ad50c8f44bf93c69e66654632dc325aa6c47d3142d328768bdde020e37b92,2,2026-08-06T16:57:51+09:00,2026-08-06T16:57:56+09:00,0
completed_jobs,heco,COMPLETED,False,False,NOT_REPORTED,external/v7/status/completed_jobs.jsonl,sha256:da5ad50c8f44bf93c69e66654632dc325aa6c47d3142d328768bdde020e37b92,2,2026-08-06T16:57:56+09:00,2026-08-06T16:57:56+09:00,0
completed_jobs,ant-ace,COMPLETED,False,False,NOT_REPORTED,external/v7/status/completed_jobs.jsonl,sha256:da5ad50c8f44bf93c69e66654632dc325aa6c47d3142d328768bdde020e37b92,2,2026-08-06T16:58:20+09:00,2026-08-06T16:58:20+09:00,0
completed_jobs,autofhe,COMPLETED,False,False,NOT_REPORTED,external/v7/status/completed_jobs.jsonl,sha256:da5ad50c8f44bf93c69e66654632dc325aa6c47d3142d328768bdde020e37b92,2,2026-08-06T16:58:20+09:00,2026-08-06T16:58:20+09:00,0
completed_jobs,dacapo,COMPLETED,False,False,NOT_REPORTED,external/v7/status/completed_jobs.jsonl,sha256:da5ad50c8f44bf93c69e66654632dc325aa6c47d3142d328768bdde020e37b92,2,2026-08-06T16:58:20+09:00,2026-08-06T16:58:20+09:00,0
completed_jobs,lohen,COMPLETED,False,False,NOT_REPORTED,external/v7/status/completed_jobs.jsonl,sha256:da5ad50c8f44bf93c69e66654632dc325aa6c47d3142d328768bdde020e37b92,2,2026-08-06T16:58:20+09:00,2026-08-06T16:58:20+09:00,0
completed_jobs,slothe,COMPLETED,False,False,NOT_REPORTED,external/v7/status/completed_jobs.jsonl,sha256:da5ad50c8f44bf93c69e66654632dc325aa6c47d3142d328768bdde020e37b92,2,2026-08-06T16:58:20+09:00,2026-08-06T16:58:20+09:00,0
completed_jobs,heaan-mlir,COMPLETED,False,False,NOT_REPORTED,external/v7/status/completed_jobs.jsonl,sha256:da5ad50c8f44bf93c69e66654632dc325aa6c47d3142d328768bdde020e37b92,2,2026-08-06T16:58:20+09:00,2026-08-06T16:58:20+09:00,0
completed_jobs,heilp,COMPLETED,False,False,NOT_REPORTED,external/v7/status/completed_jobs.jsonl,sha256:da5ad50c8f44bf93c69e66654632dc325aa6c47d3142d328768bdde020e37b92,2,2026-08-06T16:58:20+09:00,2026-08-06T16:58:20+09:00,0
completed_jobs,halo,COMPLETED,False,False,NOT_REPORTED,external/v7/status/completed_jobs.jsonl,sha256:da5ad50c8f44bf93c69e66654632dc325aa6c47d3142d328768bdde020e37b92,2,2026-08-06T16:58:20+09:00,2026-08-06T16:58:21+09:00,0
completed_jobs,resbm,COMPLETED,False,False,NOT_REPORTED,external/v7/status/completed_jobs.jsonl,sha256:da5ad50c8f44bf93c69e66654632dc325aa6c47d3142d328768bdde020e37b92,2,2026-08-06T16:58:21+09:00,2026-08-06T16:58:21+09:00,0
completed_jobs,orbit,COMPLETED,False,False,NOT_REPORTED,external/v7/status/completed_jobs.jsonl,sha256:da5ad50c8f44bf93c69e66654632dc325aa6c47d3142d328768bdde020e37b92,2,2026-08-06T16:58:21+09:00,2026-08-06T16:58:21+09:00,0
completed_jobs,fhe-agent,COMPLETED,False,False,NOT_REPORTED,external/v7/status/completed_jobs.jsonl,sha256:da5ad50c8f44bf93c69e66654632dc325aa6c47d3142d328768bdde020e37b92,2,2026-08-06T16:58:21+09:00,2026-08-06T16:58:21+09:00,0
completed_jobs,fhecrafter,COMPLETED,False,False,NOT_REPORTED,external/v7/status/completed_jobs.jsonl,sha256:da5ad50c8f44bf93c69e66654632dc325aa6c47d3142d328768bdde020e37b92,2,2026-08-06T16:58:21+09:00,2026-08-06T16:58:21+09:00,0
failed_jobs,eva,PROVIDER_FAILED_CONTINUE,False,False,NOT_REPORTED,external/v7/status/failed_jobs.jsonl,sha256:18a9d831e15d189e7fdd26afc4b25c7c71444fac1ef05607209d64845cc3b41e,NOT_REPORTED,2026-08-06T14:43:55+09:00,2026-08-06T14:45:13+09:00,1
failed_jobs,corelab,PROVIDER_FAILED_CONTINUE,False,False,NOT_REPORTED,external/v7/status/failed_jobs.jsonl,sha256:18a9d831e15d189e7fdd26afc4b25c7c71444fac1ef05607209d64845cc3b41e,NOT_REPORTED,2026-08-06T14:45:13+09:00,2026-08-06T14:53:53+09:00,137
failed_jobs,heir,PROVIDER_FAILED_CONTINUE,False,False,NOT_REPORTED,external/v7/status/failed_jobs.jsonl,sha256:18a9d831e15d189e7fdd26afc4b25c7c71444fac1ef05607209d64845cc3b41e,NOT_REPORTED,2026-08-06T14:53:53+09:00,2026-08-06T15:37:07+09:00,1
failed_jobs,heco,PROVIDER_FAILED_CONTINUE,False,False,NOT_REPORTED,external/v7/status/failed_jobs.jsonl,sha256:18a9d831e15d189e7fdd26afc4b25c7c71444fac1ef05607209d64845cc3b41e,NOT_REPORTED,2026-08-06T15:37:07+09:00,2026-08-06T15:44:12+09:00,1
failed_jobs,orion,PROVIDER_FAILED_CONTINUE,False,False,NOT_REPORTED,external/v7/status/failed_jobs.jsonl,sha256:18a9d831e15d189e7fdd26afc4b25c7c71444fac1ef05607209d64845cc3b41e,NOT_REPORTED,2026-08-06T15:44:12+09:00,2026-08-06T15:45:02+09:00,2
failed_jobs,ant-ace,PROVIDER_FAILED_CONTINUE,False,False,NOT_REPORTED,external/v7/status/failed_jobs.jsonl,sha256:18a9d831e15d189e7fdd26afc4b25c7c71444fac1ef05607209d64845cc3b41e,NOT_REPORTED,2026-08-06T15:45:02+09:00,2026-08-06T15:45:12+09:00,1
failed_jobs,autofhe,PROVIDER_FAILED_CONTINUE,False,False,NOT_REPORTED,external/v7/status/failed_jobs.jsonl,sha256:18a9d831e15d189e7fdd26afc4b25c7c71444fac1ef05607209d64845cc3b41e,NOT_REPORTED,2026-08-06T15:45:12+09:00,2026-08-06T15:45:21+09:00,1
failed_jobs,dacapo,PROVIDER_FAILED_CONTINUE,False,False,NOT_REPORTED,external/v7/status/failed_jobs.jsonl,sha256:18a9d831e15d189e7fdd26afc4b25c7c71444fac1ef05607209d64845cc3b41e,NOT_REPORTED,2026-08-06T15:45:21+09:00,2026-08-06T15:45:56+09:00,1
failed_jobs,lohen,PROVIDER_FAILED_CONTINUE,False,False,NOT_REPORTED,external/v7/status/failed_jobs.jsonl,sha256:18a9d831e15d189e7fdd26afc4b25c7c71444fac1ef05607209d64845cc3b41e,NOT_REPORTED,2026-08-06T15:45:56+09:00,2026-08-06T15:45:56+09:00,1
failed_jobs,slothe,PROVIDER_FAILED_CONTINUE,False,False,NOT_REPORTED,external/v7/status/failed_jobs.jsonl,sha256:18a9d831e15d189e7fdd26afc4b25c7c71444fac1ef05607209d64845cc3b41e,NOT_REPORTED,2026-08-06T15:45:56+09:00,2026-08-06T15:45:58+09:00,1
failed_jobs,heaan-mlir,PROVIDER_FAILED_CONTINUE,False,False,NOT_REPORTED,external/v7/status/failed_jobs.jsonl,sha256:18a9d831e15d189e7fdd26afc4b25c7c71444fac1ef05607209d64845cc3b41e,NOT_REPORTED,2026-08-06T15:45:58+09:00,2026-08-06T15:45:58+09:00,1
failed_jobs,heilp,PROVIDER_FAILED_CONTINUE,False,False,NOT_REPORTED,external/v7/status/failed_jobs.jsonl,sha256:18a9d831e15d189e7fdd26afc4b25c7c71444fac1ef05607209d64845cc3b41e,NOT_REPORTED,2026-08-06T15:45:58+09:00,2026-08-06T15:45:58+09:00,1
failed_jobs,halo,PROVIDER_FAILED_CONTINUE,False,False,NOT_REPORTED,external/v7/status/failed_jobs.jsonl,sha256:18a9d831e15d189e7fdd26afc4b25c7c71444fac1ef05607209d64845cc3b41e,NOT_REPORTED,2026-08-06T15:45:58+09:00,2026-08-06T15:45:59+09:00,1
failed_jobs,resbm,PROVIDER_FAILED_CONTINUE,False,False,NOT_REPORTED,external/v7/status/failed_jobs.jsonl,sha256:18a9d831e15d189e7fdd26afc4b25c7c71444fac1ef05607209d64845cc3b41e,NOT_REPORTED,2026-08-06T15:45:59+09:00,2026-08-06T15:45:59+09:00,1
failed_jobs,orbit,PROVIDER_FAILED_CONTINUE,False,False,NOT_REPORTED,external/v7/status/failed_jobs.jsonl,sha256:18a9d831e15d189e7fdd26afc4b25c7c71444fac1ef05607209d64845cc3b41e,NOT_REPORTED,2026-08-06T15:45:59+09:00,2026-08-06T15:45:59+09:00,1
failed_jobs,fhe-agent,PROVIDER_FAILED_CONTINUE,False,False,NOT_REPORTED,external/v7/status/failed_jobs.jsonl,sha256:18a9d831e15d189e7fdd26afc4b25c7c71444fac1ef05607209d64845cc3b41e,NOT_REPORTED,2026-08-06T15:45:59+09:00,2026-08-06T15:45:59+09:00,1
failed_jobs,fhecrafter,PROVIDER_FAILED_CONTINUE,False,False,NOT_REPORTED,external/v7/status/failed_jobs.jsonl,sha256:18a9d831e15d189e7fdd26afc4b25c7c71444fac1ef05607209d64845cc3b41e,NOT_REPORTED,2026-08-06T15:45:59+09:00,2026-08-06T15:45:59+09:00,1
failed_jobs,corelab,PROVIDER_FAILED_CONTINUE,False,False,NOT_REPORTED,external/v7/status/failed_jobs.jsonl,sha256:18a9d831e15d189e7fdd26afc4b25c7c71444fac1ef05607209d64845cc3b41e,2,2026-08-06T15:53:35+09:00,2026-08-06T16:01:06+09:00,-15
failed_jobs,corelab,PROVIDER_FAILED_CONTINUE,False,False,NOT_REPORTED,external/v7/status/failed_jobs.jsonl,sha256:18a9d831e15d189e7fdd26afc4b25c7c71444fac1ef05607209d64845cc3b41e,3,2026-08-06T16:09:42+09:00,2026-08-06T16:57:51+09:00,128
failed_jobs,orion,PROVIDER_FAILED_CONTINUE,False,False,NOT_REPORTED,external/v7/status/failed_jobs.jsonl,sha256:18a9d831e15d189e7fdd26afc4b25c7c71444fac1ef05607209d64845cc3b41e,2,2026-08-06T16:57:56+09:00,2026-08-06T16:58:20+09:00,1
failed_jobs,orion,PROVIDER_FAILED_CONTINUE,False,False,NOT_REPORTED,external/v7/status/failed_jobs.jsonl,sha256:18a9d831e15d189e7fdd26afc4b25c7c71444fac1ef05607209d64845cc3b41e,3,2026-08-06T16:58:20+09:00,2026-08-06T16:58:20+09:00,2
supplementary_jobs,heir,PARTIAL_RAW_OUTPUT_CAPTURE_NORMALIZED,False,False,1,external/v7/status/supplementary_jobs.jsonl,sha256:b1cca416f4adf719cae551540da4891614a547d63e69c9a13b5b96c62a235eed,3,2026-08-06T17:52:28+09:00,2026-08-06T17:52:28+09:00,NOT_REPORTED
