model_name,model_id,role,candidate_id,sample_id,key_run,label,plaintext_top_1,plaintext_top_2,ckks_top_1,top_two_gap,pairwise_decision_budget,pairwise_observed_error,minimum_cap_required,margin_utilization_cap,certifiable,plaintext_tie,argmax_flip,reserve_policy_pass,reserve_policy_rejection,gap_bin,plaintext_logits,ckks_logits,per_logit_absolute_error
mlp_100,mnist_mlp_square_784_100_10_v1,configuration_validation,synth_analysis_minimum_rescale_N13_Q5_S29_cd07c4b74140,mnist_60043,2,2,2,1,2,2.2617202444408484,1.1308601222204242,1.5813186470481355e-05,7.507300577075153e-06,0.5,true,false,false,true,false,1,"[-7.99877850843515,4.901569668082753,7.163289912523601,-7.226801499857421,4.5637649331067776,-10.594978961766884,-1.0715705577845211,-2.6500247815755524,-8.11593098468696,-23.288289956261394]","[-7.9988098278269035,4.901585004098681,7.163290389694144,-7.226798729744141,4.5637823888160405,-10.594949879179328,-1.0716304486419164,-2.6499515872430286,-8.11597310162814,-23.288292323187385]","[3.13193917538257e-05,1.5336015928291147e-05,4.771705421902084e-07,2.7701132800928008e-06,1.7455709262925723e-05,2.9082587555961936e-05,5.989085739521727e-05,7.319433252384044e-05,4.2116941179060063e-05,2.366925990315849e-06]"
mlp_100,mnist_mlp_square_784_100_10_v1,configuration_validation,synth_analysis_minimum_rescale_N13_Q5_S29_cd07c4b74140,mnist_60043,3,2,2,1,2,2.2617202444408484,1.1308601222204242,2.0778947424027194e-05,9.187231477942688e-06,0.5,true,false,false,true,false,1,"[-7.99877850843515,4.901569668082753,7.163289912523601,-7.226801499857421,4.5637649331067776,-10.594978961766884,-1.0715705577845211,-2.6500247815755524,-8.11593098468696,-23.288289956261394]","[-7.998758837169765,4.901574651350259,7.1632741168436835,-7.226799207996173,4.563764220330598,-10.594978291570872,-1.0715633123635753,-2.6500199162086546,-8.11592766636641,-23.28829553091574]","[1.9671265384602066e-05,4.983267506197819e-06,1.5795679917829375e-05,2.291861248338023e-06,7.127761794123444e-07,6.701960124644302e-07,7.2454209458783225e-06,4.865366897810475e-06,3.318320549894338e-06,5.5746543452528385e-06]"
mlp_100,mnist_mlp_square_784_100_10_v1,configuration_validation,synth_analysis_minimum_rescale_N13_Q5_S29_cd07c4b74140,mnist_60062,1,9,9,5,9,3.6676983827997498,1.8338491913998749,8.127629330573205e-05,2.2160026486062771e-05,0.5,true,false,false,true,false,1,"[-2.0015470126970314,-7.964879610005547,-3.534179963125146,-2.386027653934424,-4.244346447461537,0.4015547151456299,-0.6283301389967979,-3.116131219050254,0.39813806411268227,4.06925309794538]","[-2.001573640532132,-7.964931489608993,-3.5342320364493798,-2.3860148226883737,-4.2443776133558035,0.40160993635414993,-0.6283179836780721,-3.1161309727218347,0.39818159480530846,4.069227042860594]","[2.6627835100434538e-05,5.187960344610332e-05,5.207332423395883e-05,1.2831246050115652e-05,3.11658942662163e-05,5.5221208520028764e-05,1.2155318725781683e-05,2.463284194398341e-07,4.353069262619247e-05,2.6055084785703286e-05]"
mlp_100,mnist_mlp_square_784_100_10_v1,configuration_validation,synth_analysis_minimum_rescale_N13_Q5_S29_cd07c4b74140,mnist_60062,2,9,9,5,9,3.6676983827997498,1.8338491913998749,2.7308760096600437e-06,7.5110925426740868e-06,0.5,true,false,false,true,false,1,"[-2.0015470126970314,-7.964879610005547,-3.534179963125146,-2.386027653934424,-4.244346447461537,0.4015547151456299,-0.6283301389967979,-3.116131219050254,0.39813806411268227,4.06925309794538]","[-2.0015820514316376,-7.964873400459442,-3.5341991138272704,-2.3860348721247266,-4.244311679973358,0.4015550118790232,-0.6283629888366011,-3.116125705425984,0.39814196048944583,4.069255532087996]","[3.503873460619644e-05,6.209546104862795e-06,1.9150702124548502e-05,7.218190302804572e-06,3.476748817909936e-05,2.967333933012739e-07,3.284983980322842e-05,5.5136242700370985e-06,3.896376763568021e-06,2.43414261635877e-06]"
mlp_100,mnist_mlp_square_784_100_10_v1,configuration_validation,synth_analysis_minimum_rescale_N13_Q5_S29_cd07c4b74140,mnist_60062,3,9,9,5,9,3.6676983827997498,1.8338491913998749,1.862421919451851e-05,5.0779037016401688e-06,0.5,true,false,false,true,false,1,"[-2.0015470126970314,-7.964879610005547,-3.534179963125146,-2.386027653934424,-4.244346447461537,0.4015547151456299,-0.6283301389967979,-3.116131219050254,0.39813806411268227,4.06925309794538]","[-2.001559471546325,-7.964876189317496,-3.5341778569997104,-2.386019025207616,-4.244351847850797,0.4015663899325326,-0.628323407985139,-3.116139083766125,0.39812887673395697,4.069246148513088]","[1.2458849293572882e-05,3.420688051036791e-06,2.1061254353860193e-06,8.628726807735632e-06,5.400389259335725e-06,1.1674786902671208e-05,6.731011658933639e-06,7.864715870997685e-06,9.187378725294959e-06,6.949432291847302e-06]"
mlp_100,mnist_mlp_square_784_100_10_v1,configuration_validation,synth_analysis_minimum_rescale_N13_Q5_S29_cd07c4b74140,mnist_60074,1,1,1,4,1,8.8828426715919484,4.4414213357959742,4.8207394829358208e-06,5.4270233765964768e-07,0.5,true,false,false,true,false,2,"[-6.79689264890306,10.438092098180919,-11.201356240161248,-9.591313932505082,1.555249426588971,-5.988840098675588,-7.413981767847378,0.2741460219849517,-0.954437580341543,-7.946599489432696]","[-6.7968866747489844,10.438089735522876,-11.201354244221893,-9.59131824500843,1.5552518846704113,-5.988835311237757,-7.4139813363890985,0.27414680581541584,-0.9544394504681096,-7.946597833968811]","[5.974154075438776e-06,2.3626580425428756e-06,1.9959393551260973e-06,4.3125033482027675e-06,2.458081440392945e-06,4.787437831055286e-06,4.314582797704247e-07,7.838304641460958e-07,1.8701265666054567e-06,1.6554638850863057e-06]"
mlp_100,mnist_mlp_square_784_100_10_v1,configuration_validation,synth_analysis_minimum_rescale_N13_Q5_S29_cd07c4b74140,mnist_60074,2,1,1,4,1,8.8828426715919484,4.4414213357959742,0.00013127452967309772,1.4778436872795723e-05,0.5,true,false,false,true,false,2,"[-6.79689264890306,10.438092098180919,-11.201356240161248,-9.591313932505082,1.555249426588971,-5.988840098675588,-7.413981767847378,0.2741460219849517,-0.954437580341543,-7.946599489432696]","[-6.796858046706706,10.438042556950371,-11.201411517717176,-9.591263721902841,1.5553311598880968,-5.988847052884984,-7.414022218885123,0.2740560059200395,-0.9544490652718638,-7.946542882334416]","[3.460219635353923e-05,4.954123054723425e-05,5.5277555928157085e-05,5.0210602241307356e-05,8.173329912586347e-05,6.954209395892974e-06,4.0451037744304585e-05,9.001606491221281e-05,1.1484930320770914e-05,5.660709827992605e-05]"
mlp_100,mnist_mlp_square_784_100_10_v1,configuration_validation,synth_analysis_minimum_rescale_N13_Q5_S29_cd07c4b74140,mnist_60074,3,1,1,4,1,8.8828426715919484,4.4414213357959742,2.280416379152328e-05,2.5672146445250964e-06,0.5,true,false,false,true,false,2,"[-6.79689264890306,10.438092098180919,-11.201356240161248,-9.591313932505082,1.555249426588971,-5.988840098675588,-7.413981767847378,0.2741460219849517,-0.954437580341543,-7.946599489432696]","[-6.796879829197743,10.438090911237484,-11.201335565480743,-9.591319039832449,1.5552278093686136,-5.988850476394546,-7.41396136036673,0.27415620567300336,-0.954424951725767,-7.946605795282418]","[1.2819705316857721e-05,1.1869434342060003e-06,2.06746805044844e-05,5.107327366360437e-06,2.161722035731728e-05,1.0377718957954585e-05,2.0407480648465537e-05,1.0183688051668138e-05,1.2628615776000274e-05,6.305849721499612e-06]"
mlp_100,mnist_mlp_square_784_100_10_v1,configuration_validation,synth_analysis_minimum_rescale_N13_Q5_S29_cd07c4b74140,mnist_60094,1,1,1,4,1,15.612533995439369,7.8062669977196846,4.3828285212210716e-05,2.9166213648049148e-06,0.5,true,false,false,true,false,4,"[-7.219989071343161,17.799847929714563,-9.994873119010785,-11.547280740688102,2.1873139342751937,-9.0371815264585,-7.40220054811242,-2.239848546913483,2.062544839203984,-9.89490633779088]","[-7.219961621152642,17.79985505604985,-9.994947059352738,-11.547306646775365,2.1873506362251187,-9.037146355951764,-7.40220174553712,-2.2398397734777475,2.0625588445291743,-9.894919344899932]","[2.7450190518862883e-05,7.12633528721085e-06,7.394034195229438e-05,2.590608726293908e-05,3.6701949924999866e-05,3.517050673629285e-05,1.197424699839189e-06,8.77343573524314e-06,1.400532519024722e-05,1.3007109052054489e-05]"
mlp_100,mnist_mlp_square_784_100_10_v1,configuration_validation,synth_analysis_minimum_rescale_N13_Q5_S29_cd07c4b74140,mnist_60094,2,1,1,4,1,15.612533995439369,7.8062669977196846,4.1069964258788616e-05,4.7894995382988691e-06,0.5,true,false,false,true,false,4,"[-7.219989071343161,17.799847929714563,-9.994873119010785,-11.547280740688102,2.1873139342751937,-9.0371815264585,-7.40220054811242,-2.239848546913483,2.062544839203984,-9.89490633779088]","[-7.220009275857947,17.799868669331396,-9.994854495390456,-11.547284369278373,2.1872936039277677,-9.037249589340387,-7.4022157731901554,-2.2398404687706854,2.0624902050149307,-9.89490794083866]","[2.020451478657037e-05,2.07396168327989e-05,1.8623620329449864e-05,3.628590270920995e-06,2.0330347425989714e-05,6.806288188698773e-05,1.5225077735436798e-05,8.078142797351973e-06,5.463418905327089e-05,1.603047779852318e-06]"
mlp_100,mnist_mlp_square_784_100_10_v1,configuration_validation,synth_analysis_minimum_rescale_N13_Q5_S29_cd07c4b74140,mnist_60094,3,1,1,4,1,15.612533995439369,7.8062669977196846,0.00014926564079331683,9.560628712604842e-06,0.5,true,false,false,true,false,4,"[-7.219989071343161,17.799847929714563,-9.994873119010785,-11.547280740688102,2.1873139342751937,-9.0371815264585,-7.40220054811242,-2.239848546913483,2.062544839203984,-9.89490633779088]","[-7.219976604683446,17.799811092647708,-9.994942140280157,-11.547309016463338,2.1874263628491324,-9.037125395337906,-7.402222600656826,-2.2399347614947898,2.062581538200402,-9.894783501421266]","[1.2466659714327477e-05,3.683706685464472e-05,6.90212693719161e-05,2.8275775235897527e-05,0.00011242857393867212,5.61311205942161e-05,2.205254440568183e-05,8.62145813069759e-05,3.669899641778329e-05,0.00012283636961463174]"
mlp_100,mnist_mlp_square_784_100_10_v1,configuration_validation,synth_analysis_minimum_rescale_N13_Q5_S29_cd07c4b74140,mnist_60128,1,8,8,3,8,21.306466551094893,10.653233275547446,8.5528915402033334e-05,4.0142233437405974e-06,0.5,true,false,false,true,false,4,"[-9.266623155858388,-34.17115479407306,-12.73217387165348,1.4072707786663687,-32.82068751807087,-1.7481111293315887,-13.297222637124136,-11.69859974123659,22.713737329761262,1.183532622398233]","[-9.26656529969614,-34.1711867193076,-12.732116294925252,1.4072125360446002,-32.82077625096972,-1.7481211997025485,-13.297130530373822,-11.698527891173352,22.713764616054895,1.1835450284836715]","[5.785616224862622e-05,3.19252345377663e-05,5.757672822781501e-05,5.8242621768567204e-05,8.873289885258373e-05,1.0070370959791575e-05,9.210675031390281e-05,7.18500632377328e-05,2.728629363346613e-05,1.2406085438509962e-05]"
mlp_100,mnist_mlp_square_784_100_10_v1,configuration_validation,synth_analysis_minimum_rescale_N13_Q5_S29_cd07c4b74140,mnist_60128,2,8,8,3,8,21.306466551094893,10.653233275547446,2.1696957100747483e-05,1.308967149779919e-06,0.5,true,false,false,true,false,4,"[-9.266623155858388,-34.17115479407306,-12.73217387165348,1.4072707786663687,-32.82068751807087,-1.7481111293315887,-13.297222637124136,-11.69859974123659,22.713737329761262,1.183532622398233]","[-9.266616204473785,-34.171138144150945,-12.732139210760813,1.4072608183499584,-32.82068382712599,-1.7481271927390276,-13.297244325403156,-11.698588813333032,22.71372559312057,1.1835340449568053]","[6.951384603937072e-06,1.6649922116585003e-05,3.4660892666238396e-05,9.960316410317915e-06,3.6909448795086064e-06,1.6063407438871025e-05,2.168827901982695e-05,1.0927903558055618e-05,1.1736640690429567e-05,1.4225585722726919e-06]"
mlp_100,mnist_mlp_square_784_100_10_v1,configuration_validation,synth_analysis_minimum_rescale_N13_Q5_S29_cd07c4b74140,mnist_60128,3,8,8,3,8,21.306466551094893,10.653233275547446,0.00010859599166579414,5.096855989958299e-06,0.5,true,false,false,true,false,4,"[-9.266623155858388,-34.17115479407306,-12.73217387165348,1.4072707786663687,-32.82068751807087,-1.7481111293315887,-13.297222637124136,-11.69859974123659,22.713737329761262,1.183532622398233]","[-9.266611614650703,-34.17118131877221,-12.732180141882816,1.407337678956114,-32.82075218599965,-1.7480499389136042,-13.297223758059342,-11.698634022574577,22.713779025463182,1.1835309676492005]","[1.1541207685539234e-05,2.6524699151764253e-05,6.27022933663568e-06,6.69002897453197e-05,6.46679287825691e-05,6.119041798458014e-05,1.1209352059893263e-06,3.428133798699662e-05,4.169570192047445e-05,1.654749032464764e-06]"
mlp_100,mnist_mlp_square_784_100_10_v1,configuration_validation,synth_analysis_minimum_rescale_N13_Q5_S29_cd07c4b74140,mnist_60146,1,8,8,3,8,12.078351541530397,6.0391757707651985,7.2424834316464626e-05,5.9962515635877894e-06,0.5,true,false,false,true,false,3,"[-2.002490405497994,-16.253943010189936,-2.803788392620432,4.757648296769135,-27.153638713571045,-4.334581234345332,-1.2927350361116206,-8.211082340222651,16.835999838299532,2.2403103622667384]","[-2.002523236733248,-16.25384578562877,-2.8038135333040084,4.757593315940305,-27.153529808401135,-4.3345271408683175,-1.292772961040285,-8.21112443582867,16.835982394294046,2.240332040891353]","[3.2831235253993896e-05,9.722456116634248e-05,2.514068357628574e-05,5.498082883015343e-05,0.0001089051699096899,5.40934770141277e-05,3.792492866439012e-05,4.209560601964313e-05,1.7444005486311198e-05,2.1678624614551723e-05]"
mlp_100,mnist_mlp_square_784_100_10_v1,configuration_validation,synth_analysis_minimum_rescale_N13_Q5_S29_cd07c4b74140,mnist_60146,2,8,8,3,8,12.078351541530397,6.0391757707651985,0.00017878196610965347,1.4801851518804259e-05,0.5,true,false,false,true,false,3,"[-2.002490405497994,-16.253943010189936,-2.803788392620432,4.757648296769135,-27.153638713571045,-4.334581234345332,-1.2927350361116206,-8.211082340222651,16.835999838299532,2.2403103622667384]","[-2.0025116226724022,-16.254035553162065,-2.8038459574929737,4.757736498320741,-27.15371465542782,-4.334437369978135,-1.2927452745457866,-8.211191554159027,16.836090418714036,2.240365336138268]","[2.1217174408061368e-05,9.254297212990537e-05,5.756487254160447e-05,8.820155160549348e-05,7.594185677461951e-05,0.00014386436719693307,1.0238434166032206e-05,0.00010921393637630672,9.058041450415999e-05,5.497387152963995e-05]"
mlp_100,mnist_mlp_square_784_100_10_v1,configuration_validation,synth_analysis_minimum_rescale_N13_Q5_S29_cd07c4b74140,mnist_60146,3,8,8,3,8,12.078351541530397,6.0391757707651985,3.2080950065349612e-06,3.7818618828242436e-07,0.5,true,false,false,true,false,3,"[-2.002490405497994,-16.253943010189936,-2.803788392620432,4.757648296769135,-27.153638713571045,-4.334581234345332,-1.2927350361116206,-8.211082340222651,16.835999838299532,2.2403103622667384]","[-2.0024906063518504,-16.25394188195607,-2.8037926857821605,4.75764837052922,-27.153639222918912,-4.334579696629916,-1.292734066601904,-8.211084655688435,16.83599670396461,2.2403117273992064]","[2.0085385621371188e-07,1.1282338654439172e-06,4.293161728341488e-06,7.376008515080912e-08,5.093478669948581e-07,1.5377154154450068e-06,9.695097165085542e-07,2.31546578355335e-06,3.134334921384152e-06,1.3651324679564425e-06]"
mlp_100,mnist_mlp_square_784_100_10_v1,configuration_validation,synth_analysis_minimum_rescale_N13_Q5_S29_cd07c4b74140,mnist_60166,1,4,4,9,4,17.234443931551382,8.6172219657756912,4.0828896515354707e-05,2.5666816145145788e-06,0.5,true,false,false,true,false,4,"[-8.349881529927849,-0.9444446146520222,-11.014571570212746,-8.06394325277841,17.88415043130014,-11.258875731584501,-7.025812536237792,-0.0661204508795834,-9.630734343938553,0.649706499748758]","[-8.349898578949976,-0.9444560948348896,-11.014544489236156,-8.063953625564444,17.884113584474274,-11.258867712594217,-7.02580301543853,-0.066121774085031,-9.630721711629619,0.6497104818194092]","[1.7049022126514046e-05,1.1480182867340538e-05,2.7080976590099226e-05,1.0372786034551496e-05,3.684682586424515e-05,8.018990284242022e-06,9.520799261864e-06,1.3232054476008948e-06,1.2632308934001912e-05,3.982070651109559e-06]"
mlp_100,mnist_mlp_square_784_100_10_v1,configuration_validation,synth_analysis_minimum_rescale_N13_Q5_S29_cd07c4b74140,mnist_60166,2,4,4,9,4,17.234443931551382,8.6172219657756912,4.770156161248984e-05,3.9626937414174223e-06,0.5,true,false,false,true,false,4,"[-8.349881529927849,-0.9444446146520222,-11.014571570212746,-8.06394325277841,17.88415043130014,-11.258875731584501,-7.025812536237792,-0.0661204508795834,-9.630734343938553,0.649706499748758]","[-8.349905907075836,-0.9444290278769096,-11.01456031436188,-8.063967902423643,17.884159855016954,-11.258891654979312,-7.025871935478257,-0.06605874317031674,-9.630790724595881,0.6496682219039605]","[2.4377147987308945e-05,1.5586775112597095e-05,1.125585086647618e-05,2.4649645233409956e-05,9.423716814893623e-06,1.592339481071292e-05,5.939924046494127e-05,6.170770926666735e-05,5.638065732860298e-05,3.8277844797596217e-05]"
mlp_100,mnist_mlp_square_784_100_10_v1,configuration_validation,synth_analysis_minimum_rescale_N13_Q5_S29_cd07c4b74140,mnist_60166,3,4,4,9,4,17.234443931551382,8.6172219657756912,3.1998609306138626e-05,3.9335167685331619e-06,0.5,true,false,false,true,false,4,"[-8.349881529927849,-0.9444446146520222,-11.014571570212746,-8.06394325277841,17.88415043130014,-11.258875731584501,-7.025812536237792,-0.0661204508795834,-9.630734343938553,0.649706499748758]","[-8.349896047390137,-0.9444969071553855,-11.014546173968359,-8.06394217749773,17.88412866120916,-11.258855119361971,-7.0258317267473425,-0.06610379121956965,-9.630749271386009,0.6497167282670863]","[1.4517462288310412e-05,5.229250336324931e-05,2.5396244387465572e-05,1.0752806804958936e-06,2.1770090977923928e-05,2.0612222529692303e-05,1.9190509550348622e-05,1.6659660013754185e-05,1.4927447455903575e-05,1.0228518328214697e-05]"
